Vehicle_States.lateral_acc_wrt_road,Vehicle_States.longitudinal_acc_wrt_road,Vehicle_States.pitch_angular_acc_wrt_road,Vehicle_States.roll_angular_acc_wrt_road,Vehicle_States.yaw_angular_acc_wrt_road,driving_machine_monitor.path_curvature,driving_machine_monitor.path_distance,engine.engine_rpm,driver_demands.throttle,driver_demands.brake
0.151396973,1.782831208,-0.042638807,-0.002255424,-0.002491149,3.37343E-05,0.023530542,4612.658891,98.39725561,0
0.150890111,1.783295673,-0.041425274,-0.0020718,-0.002080015,3.39382E-05,0.023736937,4614.47653,98.46125323,0
0.15035537,1.782573026,-0.038295758,-0.001892637,-0.001691843,3.44071E-05,0.023934739,4615.947537,98.22529258,0
0.14979424,1.779389455,-0.036493604,-0.001717478,-0.001335565,3.50099E-05,0.024124162,4617.534594,98.29366858,0
0.149209514,1.776893846,-0.033905205,-0.001542542,-0.001007308,3.41355E-05,0.024305432,4619.3172,98.30742144,0
0.148604679,1.775826086,-0.031689258,-0.001371866,-0.000704847,3.13692E-05,0.024478508,4621.226221,98.37144994,0
0.147983784,1.776108103,-0.029360682,-0.001204591,-0.00042602,3.00804E-05,0.024643264,4623.125795,98.38070194,0
0.147349389,1.776894087,-0.027455801,-0.00104076,-0.000174033,3.20522E-05,0.024799253,4625.029162,98.44323448,0
0.146703602,1.777873247,-0.025231476,-0.000881918,4.94997E-05,3.32502E-05,0.024946951,4626.870762,98.4529345,0
0.146048281,1.778560566,-0.023220535,-0.000726741,0.000241502,3.0719E-05,0.025086652,4628.714968,98.51650055,0
0.145385252,1.779357674,-0.021064226,-0.000579417,0.000401775,2.79332E-05,0.025218006,4630.5902,98.58020888,0
0.144716945,1.779014282,-0.017309207,-0.000438921,0.000531201,2.89957E-05,0.025340672,4632.086789,98.34395278,0
0.144044027,1.776046885,-0.015098573,-0.000306672,0.000623015,3.09165E-05,0.02545504,4633.683836,98.41223638,0
0.143367841,1.773594536,-0.012291334,-0.000186429,0.000683646,3.00973E-05,0.025561326,4635.472493,98.4268631,0
0.14268945,1.772461506,-0.010036101,-7.86607E-05,0.000717199,2.79956E-05,0.025659464,4637.389293,98.49119925,0
0.142010006,1.772638774,-0.00785931,1.21895E-05,0.000727206,2.74489E-05,0.025749136,4639.301635,98.50145783,0
0.141330594,1.77333346,-0.006288077,8.95037E-05,0.000714051,2.84293E-05,0.025830296,4641.221501,98.56424029,0
0.140651887,1.774251789,-0.004577404,0.000152676,0.000677676,2.84071E-05,0.025903303,4643.08213,98.57480804,0
0.139974009,1.774909655,-0.003233134,0.000201722,0.000617591,2.65504E-05,0.025968271,4644.94523,98.63850228,0
0.139297116,1.774351851,-0.000329481,0.000237798,0.000534561,2.5353E-05,0.026024711,4646.450221,98.40475151,0
0.138619586,1.771265831,0.000984255,0.000261223,0.000423325,2.61354E-05,0.026072468,4648.062272,98.47305279,0
0.137940936,1.76901786,0.002556164,0.00026994,0.000291037,2.67533E-05,0.026111729,4649.934108,98.54019296,0
0.137260672,1.768381272,0.004063464,0.000261824,0.000143284,2.50912E-05,0.02614264,4651.846844,98.55171096,0
0.136578256,1.768692084,0.004854899,0.000239148,-1.72819E-05,2.31049E-05,0.026165027,4653.791528,98.61459099,0
0.135893246,1.769559921,0.005659899,0.000205576,-0.000189296,2.41847E-05,0.026178647,4655.68219,98.62542091,0
0.13520475,1.770331285,0.006016689,0.000161479,-0.000373307,2.60542E-05,0.026183562,4657.567542,98.68874486,0
0.134512234,1.771015293,0.006623012,0.00011015,-0.000567591,2.48746E-05,0.026180146,4659.403966,98.70066084,0
0.133814551,1.771388412,0.006912069,5.18861E-05,-0.000772155,2.18148E-05,0.026168215,4661.258576,98.76482213,0
0.133110864,1.770622937,0.008750769,-1.2914E-05,-0.000984343,2.11577E-05,0.02614722,4662.767105,98.53136845,0
0.132398732,1.767437382,0.008973622,-7.95343E-05,-0.001208763,2.33862E-05,0.026117073,4664.387675,98.59957082,0
0.131676584,1.764934586,0.009700886,-0.00015357,-0.001438616,2.38386E-05,0.026078432,4666.200991,98.61560402,0
0.130943157,1.76383999,0.009838204,-0.000233425,-0.001668775,2.08955E-05,0.026031176,4668.136299,98.67972504,0
0.130197216,1.764066267,0.009878945,-0.000319752,-0.001896098,1.89184E-05,0.025974765,4670.061432,98.69150012,0
0.129437408,1.764793354,0.009348735,-0.000409986,-0.002120156,2.0496E-05,0.025908882,4671.987777,98.75416786,0
0.128662388,1.765941975,0.008732262,-0.000501235,-0.00234092,2.20674E-05,0.025833832,4673.917993,98.81693487,0
0.127870691,1.767051402,0.008343802,-0.000594536,-0.002558308,2.04903E-05,0.025749945,4675.764699,98.82869779,0
0.127060641,1.767678851,0.00771362,-0.000687064,-0.002773018,1.84228E-05,0.025657123,4677.610442,98.89252759,0
0.126230476,1.766983894,0.008736813,-0.000780947,-0.002984826,1.87218E-05,0.025554925,4679.102658,98.6589718,0
0.125377304,1.763757777,0.008244129,-0.000872005,-0.003198188,1.96858E-05,0.025443376,4680.706742,98.7270472,0
0.124499257,1.761172186,0.008333774,-0.000964265,-0.00340773,1.89481E-05,0.025322696,4682.507409,98.74357713,0
0.123594749,1.760000435,0.007901251,-0.00106019,-0.003609476,1.71659E-05,0.025192796,4684.433432,98.80755156,0
0.122662859,1.760171708,0.007421838,-0.001155814,-0.003800393,1.65177E-05,0.02505338,4686.352083,98.81975946,0
0.121702307,1.760871121,0.006426004,-0.00124948,-0.003981804,1.7158E-05,0.024904382,4688.272516,98.88218387,0
