Vehicle_States.lateral_acc_wrt_road,Vehicle_States.longitudinal_acc_wrt_road,Vehicle_States.pitch_angular_acc_wrt_road,Vehicle_States.roll_angular_acc_wrt_road,Vehicle_States.yaw_angular_acc_wrt_road,driving_machine_monitor.path_curvature,driving_machine_monitor.path_distance,engine.engine_rpm,driver_demands.brake,driver_demands.throttle
0.863963275,2.137797593,0.253722682,0.029932344,-0.083189702,-1.17784E-07,0.091006297,4257.737378,0,100
0.874876768,2.113982285,0.255089252,0.01375509,-0.096252428,-5.44399E-07,0.093921403,4260.2925,0,100
0.884786781,2.092866722,0.253216139,-0.004692645,-0.107869774,-9.71223E-07,0.096734953,4262.762857,0,100
0.893691979,2.073405106,0.248751546,-0.023968028,-0.118113729,-1.39826E-06,0.099443898,4265.120172,0,100
0.901456637,2.055014219,0.242202104,-0.044277737,-0.127176769,-1.82549E-06,0.102045564,4267.383411,0,100
0.907084305,2.037630603,0.23352011,-0.065181696,-0.135743228,-2.25293E-06,0.10453767,4269.587589,0,100
0.910808811,2.021258703,0.223682589,-0.082498537,-0.143567517,-2.68058E-06,0.106918282,4271.76391,0,100
0.9129858,2.006286302,0.212086533,-0.097895602,-0.1504742,-3.10842E-06,0.109185724,4273.933057,0,100
0.913782188,1.992975329,0.1988173,-0.110228089,-0.156317124,-3.53646E-06,0.111338604,4276.099084,0,100
0.913271798,1.981465556,0.184005759,-0.119056185,-0.161030088,-3.9647E-06,0.113375811,4278.257515,0,100
0.911472943,1.971767863,0.167862075,-0.12429779,-0.164594016,-4.39314E-06,0.115296425,4280.401357,0,100
0.908379321,1.963800959,0.15071776,-0.126000213,-0.167013606,-4.47118E-06,0.11709978,4282.525274,0,100
0.903983381,1.95743374,0.132867849,-0.124914911,-0.168315782,-4.02796E-06,0.118785581,4284.627162,0,100
0.898281667,1.952515008,0.114649017,-0.121486489,-0.16853174,-3.54796E-06,0.120353786,4286.707758,0,100
0.891280584,1.948881669,0.096286687,-0.11599627,-0.167700084,-3.06774E-06,0.12180461,4288.769422,0,100
0.883000384,1.946352017,0.078063192,-0.1090018,-0.165871317,-2.5873E-06,0.123138618,4290.814906,0,100
0.8734752,1.944711084,0.060263747,-0.10104297,-0.163101031,-2.10664E-06,0.124356574,4292.846535,0,100
