Vehicle_States.lateral_acc_wrt_road,Vehicle_States.longitudinal_acc_wrt_road,Vehicle_States.pitch_angular_acc_wrt_road,Vehicle_States.roll_angular_acc_wrt_road,Vehicle_States.yaw_angular_acc_wrt_road,driving_machine_monitor.path_curvature,driving_machine_monitor.path_distance,engine.engine_rpm,driver_demands.throttle,driver_demands.brake
1.536296389,2.160136404,0.256543739,0.024963404,-0.216194207,-2.7E-11,0.152727196,4063.59881,100,0
1.546217165,2.139725836,0.256771799,-0.003543337,-0.241640645,-4.5E-11,0.157534918,4065.960003,100,0
1.554265262,2.120075603,0.254658308,-0.035725301,-0.264044372,-6.6E-11,0.162151057,4068.284755,100,0
1.56042518,2.101458359,0.250212819,-0.068969238,-0.283487487,-3.1E-11,0.166570879,4070.585047,100,0
1.564656854,2.084122008,0.243505415,-0.100736327,-0.300048102,1.32E-10,0.17079045,4072.863902,100,0
1.566915473,2.068227879,0.234849063,-0.130569231,-0.313830659,2.83E-10,0.174806562,4075.118887,100,0
1.567126874,2.053845182,0.22392199,-0.155317437,-0.324892198,1.5E-10,0.178616673,4077.346254,100,0
1.565232198,2.04099091,0.211259716,-0.17552063,-0.333341051,-1.4E-10,0.182218852,4079.543499,100,0
1.561171849,2.029641737,0.197057347,-0.190557152,-0.339264019,-2.87E-10,0.185611732,4081.710256,100,0
1.554898392,2.01978256,0.181478252,-0.200315109,-0.342750942,-1.36E-10,0.188794497,4083.847858,100,0
1.546377764,2.011406413,0.164772989,-0.204825486,-0.343894143,3.2E-11,0.191766857,4085.957899,100,0
1.535594763,2.004490873,0.147171309,-0.204688548,-0.342798396,6.3E-11,0.194529034,4088.041675,100,0
1.522554121,1.998981508,0.129059521,-0.200938034,-0.33958093,2.6E-11,0.197081755,4090.100223,100,0
1.507277455,1.994782032,0.110698658,-0.1939274,-0.33435637,-1E-11,0.19942625,4092.134682,100,0
1.489807784,1.991755851,0.092330937,-0.184302064,-0.327253899,-4.6E-11,0.201564251,4094.146659,100,0
1.470208993,1.989727445,0.074243015,-0.172831593,-0.318411585,-6.8E-11,0.203497984,4096.138333,100,0
