Vehicle_States.lateral_acc_wrt_road,Vehicle_States.longitudinal_acc_wrt_road,Vehicle_States.pitch_angular_vel_wrt_road,Vehicle_States.roll_angular_acc_wrt_road,Vehicle_States.yaw_angular_acc_wrt_road,engine.engine_rpm,driving_machine_monitor.path_curvature,driving_machine_monitor.path_distance,driver_demands.throttle,driver_demands.brake
-0.520145704,2.280115042,-0.035834499,0.216480755,-0.240397427,3421.639414,3.65532E-07,-0.019483911,100,0
-0.532755206,2.22370761,-0.036903322,0.258477705,-0.215373823,3437.032108,4.13759E-07,-0.02204998,100,0
-0.547391428,2.282482495,-0.037464091,0.276310556,-0.1902684,3449.449403,4.62018E-07,-0.024611217,100,0
-0.563047887,2.366689789,-0.037833243,0.278336402,-0.165063207,3455.764425,5.1031E-07,-0.027162877,100,0
-0.578928715,2.421287187,-0.038093361,0.2561237,-0.13986904,3457.097604,5.58634E-07,-0.029699553,100,0
-0.594642229,2.431312849,-0.038188219,0.22401722,-0.114189422,3456.1721,6.06991E-07,-0.032215311,100,0
-0.609826693,2.40665022,-0.03799403,0.182083557,-0.088249842,3455.413213,6.55383E-07,-0.034703651,100,0
-0.624145035,2.365385439,-0.037420306,0.136197619,-0.062262748,3456.090833,7.036E-07,-0.037157744,100,0
-0.637305807,2.324047412,-0.036429781,0.092444496,-0.036666054,3458.300442,7.50542E-07,-0.039570519,100,0
-0.648972123,2.292472184,-0.035055527,0.04981703,-0.011971737,3461.423651,7.97149E-07,-0.04193493,100,0
-0.659210456,2.272201497,-0.03337169,0.016806761,0.011226269,3464.706352,8.43787E-07,-0.044244145,100,0
-0.668027426,2.259389709,-0.03144496,-0.008266765,0.032545746,3467.661301,8.90456E-07,-0.046491689,100,0
-0.675479496,2.248611976,-0.029328082,-0.027848906,0.051831196,3470.163802,9.37154E-07,-0.048671744,100,0
-0.681772683,2.235884172,-0.027070383,-0.033223853,0.069222521,3472.342212,9.83883E-07,-0.050779116,100,0
-0.686855783,2.21992256,-0.024708728,-0.034649737,0.084791686,3474.40527,1.03064E-06,-0.052809268,100,0
-0.690838696,2.201636103,-0.022261639,-0.029518845,0.098692519,3476.512792,1.07743E-06,-0.05475841,100,0
-0.693799247,2.182914445,-0.019750322,-0.018830629,0.110937246,3478.726957,1.12425E-06,-0.05662328,100,0
-0.695816075,2.165409079,-0.017200053,-0.004232924,0.121502114,3481.028453,1.1711E-06,-0.058401187,100,0
-0.696956841,2.149880535,-0.014638601,0.012601767,0.130400663,3483.361586,1.21797E-06,-0.060089968,100,0
-0.697265131,2.136226897,-0.012093513,0.030106908,0.137698969,3485.675266,1.26488E-06,-0.061687904,100,0
-0.696755073,2.123928062,-0.009589733,0.046917233,0.143508364,3487.943578,1.31181E-06,-0.063193753,100,0
-0.695419567,2.112526209,-0.00714913,0.062089829,0.147951484,3490.165517,1.35839E-06,-0.064606617,100,0
-0.69324276,2.101845561,-0.004790981,0.07487823,0.151124486,3492.353954,1.39379E-06,-0.06592591,100,0
-0.690211035,2.091964771,-0.002532576,0.084862025,0.153097893,3494.523929,1.41458E-06,-0.067151365,100,0
-0.68631681,2.083069654,-0.000389677,0.091824734,0.153915696,3496.685589,1.4338E-06,-0.068282913,100,0
-0.681546926,2.075310406,0.001622835,0.095718237,0.153655533,3498.84228,1.45303E-06,-0.069320744,100,0
-0.675890894,2.068730778,0.00349118,0.096782886,0.152393776,3500.992758,1.47228E-06,-0.07026526,100,0
-0.669342628,2.063287132,0.005203192,0.095349254,0.150178095,3503.134366,1.49154E-06,-0.071117018,100,0
-0.661902734,2.058893246,0.006748996,0.091801324,0.147063313,3505.265324,1.51081E-06,-0.071876835,100,0
-0.65358425,2.055452856,0.008122797,0.086770588,0.143111868,3507.385568,1.53009E-06,-0.072545673,100,0
-0.644411226,2.052867759,0.009321173,0.080534564,0.138385671,3509.496485,1.54938E-06,-0.0731247,100,0
-0.634419669,2.051030776,0.010342546,0.073497748,0.132956721,3511.600111,1.56868E-06,-0.073615302,100,0
-0.623655498,2.04980696,0.011188011,0.066065516,0.126905502,3513.69835,1.588E-06,-0.074019008,100,0
-0.612172327,2.049023242,0.011861478,0.058528395,0.120315663,3515.792539,1.60732E-06,-0.074337587,100,0
