Vehicle_States.lateral_acc_wrt_road,Vehicle_States.longitudinal_acc_wrt_road,Vehicle_States.pitch_angular_acc_wrt_road,Vehicle_States.roll_angular_acc_wrt_road,Vehicle_States.yaw_angular_acc_wrt_road,engine.engine_rpm,driving_machine_monitor.path_curvature,driving_machine_monitor.path_distance
2.589419452,1.280921201,0.00011927,0.007620501,0.09678254,5515.600759,0.00119748,0.225448358
2.628874536,1.279585309,0.000123087,0.006372431,0.095289948,5517.027657,0.001220576,0.230128316
2.668310696,1.278253022,0.000127799,0.005101645,0.093643305,5518.456142,0.001247562,0.234924272
2.707712342,1.276924708,0.000133644,0.003796835,0.091856183,5519.886071,0.001276567,0.239839992
2.74704972,1.275600795,0.000140485,0.002458318,0.089934599,5521.317295,0.00130558,0.244879843
2.786294661,1.274281522,0.000148358,0.001091617,0.087885791,5522.74966,0.0013346,0.250048197
2.825421544,1.27296736,0.000157199,-0.000294203,0.085719184,5524.183008,0.001363621,0.255359116
2.864408975,1.271658814,0.000166958,-0.001677597,0.083447433,5525.617163,0.001392655,0.260813371
2.90324016,1.270356375,0.000177739,-0.003067021,0.081085146,5527.051941,0.001421694,0.266409859
2.941887001,1.269060515,0.000189415,-0.004458669,0.07864024,5528.487143,0.00145074,0.272152945
2.980324122,1.267771445,0.00020211,-0.005844495,0.076122048,5529.922563,0.001479795,0.278047008
3.019421352,1.266438884,0.000202999,-0.006131839,0.074080205,5531.357986,0.001510813,0.284098096
3.059699089,1.265121356,0.000171664,-0.004969442,0.072955265,5532.79318,0.001543356,0.290325463
3.100165497,1.263788969,0.000150379,-0.002332756,0.072110029,5534.227886,0.001575908,0.296719285
3.14044574,1.262428931,0.000134559,-0.000392871,0.071277545,5535.661935,0.001608468,0.303284991
3.180387231,1.261053069,0.000114566,0.00087402,0.070378337,5537.095311,0.001641037,0.310028029
3.219938006,1.259681146,8.49067E-05,0.001512404,0.069399204,5538.528138,0.001673614,0.316953889
3.259089347,1.258327171,4.5403E-05,0.001091184,0.068328496,5539.960577,0.001706191,0.324080471
3.297843087,1.256990752,3.39047E-06,-3.93064E-05,0.067176114,5541.392657,0.001738783,0.331408883
3.336196717,1.25566502,-3.08706E-05,-0.001842608,0.06593597,5542.824362,0.00177131,0.33893762
3.374149397,1.254344612,-5.4489E-05,-0.004198682,0.06460385,5544.255573,0.001781975,0.346672011
3.411702845,1.253026407,-5.89915E-05,-0.006926316,0.063180176,5545.686142,0.001768341,0.354611361
3.448864953,1.251714764,-5.32297E-05,-0.009826061,0.061673552,5547.115825,0.001754383,0.36275314
3.485635804,1.250411598,-3.65236E-05,-0.012748555,0.060088652,5548.544385,0.001740421,0.371100338
3.522007643,1.249116934,-1.06101E-05,-0.015550037,0.058427346,5549.971641,0.001726457,0.379629348
3.558019194,1.247844265,7.44596E-06,-0.018152999,0.056665579,5551.397407,0.001712493,0.388332402
3.593549291,1.246626507,1.07844E-05,-0.020616611,0.054949236,5552.820048,0.001698528,0.397201747
3.628586169,1.245414218,1.92518E-05,-0.022809348,0.053277277,5554.238387,0.001684562,0.406229649
3.663173989,1.24418599,3.21485E-05,-0.024639564,0.051598436,5555.653414,0.001670585,0.415426303
3.697320753,1.242945215,4.78695E-05,-0.026059085,0.049888236,5557.066217,0.001652764,0.424767765
3.73102642,1.241703816,6.59187E-05,-0.027044848,0.048140044,5558.477281,0.001629047,0.434243274
3.764290934,1.240472034,8.75394E-05,-0.027587504,0.046357785,5559.886506,0.00160526,0.44384249
3.797125428,1.239255324,0.000361053,-0.028469189,0.044544461,5561.293439,0.00158147,0.453554956
3.829491577,1.238055878,0.00026965,-0.027650458,0.042716887,5562.697534,0.001557683,0.463382232
3.861402202,1.236875129,0.000283411,-0.027283448,0.040862359,5564.098383,0.001533885,0.473308208
3.892854024,1.235704741,0.000359996,-0.026771208,0.039002708,5565.495637,0.001510083,0.483315723
3.92385278,1.234537873,0.000460102,-0.026084184,0.037153652,5566.889104,0.001486278,0.493394418
3.954400035,1.233373571,0.000558539,-0.025305209,0.035324842,5568.278679,0.001462469,0.50353397
3.984488413,1.232214695,0.000644907,-0.02450858,0.03351964,5569.664284,0.001441836,0.513731879
4.014112959,1.2310645,0.000719551,-0.023755973,0.031742078,5571.04585,0.001427601,0.523980599
4.043274002,1.229924642,0.00078771,-0.023071524,0.029999315,5572.423308,0.001413396,0.534262798
4.071982717,1.22879478,0.00085551,-0.022526226,0.028302142,5573.796586,0.001399189,0.544571145
