Vehicle_States.lateral_vel_wrt_road,Vehicle_States.longitudinal_vel_wrt_road,Vehicle_States.roll_angle,Vehicle_States.yaw_angle,Vehicle_States.side_slip,driving_machine_monitor.path_x,driving_machine_monitor.path_y,driving_machine_monitor.path_curvature,driving_machine_monitor.path_distance,driver_demands.steering
6.73155E-05,40.56985738,-3.94083E-06,-1.48919E-06,1.65925E-06,-27.00536443,0,0,-1.39067E-05,8.33848E-06
6.60847E-05,40.58969577,-3.91922E-06,-1.46071E-06,1.62812E-06,-27.41098349,0,0,-1.39077E-05,7.79892E-06
6.49958E-05,40.60953126,-3.89891E-06,-1.435E-06,1.60051E-06,-27.81680216,0,0,-1.39118E-05,7.31471E-06
6.40555E-05,40.62936381,-3.88004E-06,-1.41228E-06,1.57658E-06,-28.22282029,0,0,-1.39197E-05,6.8881E-06
6.32693E-05,40.64919338,-3.86272E-06,-1.39273E-06,1.55647E-06,-28.62903775,0,0,-1.39319E-05,6.52077E-06
6.2641E-05,40.66901993,-3.84706E-06,-1.37649E-06,1.54026E-06,-29.03545439,0,0,-1.3949E-05,6.21391E-06
6.2173E-05,40.68884341,-3.83311E-06,-1.3637E-06,1.52801E-06,-29.44207007,0,0,-1.39715E-05,5.96807E-06
6.18663E-05,40.70866376,-3.82095E-06,-1.35442E-06,1.51973E-06,-29.84888465,0,0,-1.39997E-05,5.78333E-06
6.17201E-05,40.72848091,-3.81063E-06,-1.34873E-06,1.5154E-06,-30.255898,0,0,-1.4034E-05,5.6592E-06
6.17324E-05,40.74829481,-3.80218E-06,-1.34663E-06,1.51497E-06,-30.66310998,0,0,-1.40746E-05,5.59468E-06
6.18998E-05,40.7681054,-3.7956E-06,-1.34813E-06,1.51834E-06,-31.07052046,0,0,-1.41216E-05,5.58833E-06
6.2217E-05,40.78791262,-3.79071E-06,-1.35318E-06,1.52538E-06,-31.47812933,0,0,-1.41752E-05,5.63811E-06
6.26784E-05,40.80771644,-3.78752E-06,-1.36171E-06,1.53594E-06,-31.88593646,0,0,-1.42353E-05,5.74171E-06
6.3277E-05,40.82751681,-3.78615E-06,-1.37362E-06,1.54986E-06,-32.29394172,0,0,-1.43018E-05,5.89647E-06
6.40048E-05,40.84731371,-3.78669E-06,-1.38878E-06,1.56693E-06,-32.70214503,0,0,-1.43746E-05,6.09933E-06
