Vehicle_States.lateral_acc_wrt_road,Vehicle_States.longitudinal_acc_wrt_road,Vehicle_States.pitch_angular_acc_wrt_road,Vehicle_States.roll_angular_acc_wrt_road,Vehicle_States.yaw_angular_acc_wrt_road,engine.engine_rpm,driving_machine_monitor.path_curvature,driving_machine_monitor.path_distance
-3.638186151,1.463795211,0.082929552,0.137681523,-0.272400895,4964.073604,-1.66209E-05,-0.429435302
-3.723037073,1.466666788,0.087561679,-0.000870142,-0.181586334,4968.713349,-1.75076E-05,-0.450516464
-3.802970993,1.46754691,0.095983713,-0.100634601,-0.09475573,4972.512313,-1.85057E-05,-0.471288909
-3.877685092,1.463513159,0.101362034,-0.160231788,-0.012308179,4976.541084,-1.95413E-05,-0.491725407
-3.947189091,1.46201925,0.107777436,-0.182176115,0.06491866,4981.117402,-2.05773E-05,-0.511800825
-4.012029404,1.464817778,0.113481172,-0.171469215,0.136710289,4985.900323,-2.16136E-05,-0.531492257
-4.072622053,1.470906508,0.117777328,-0.13452074,0.203027019,4990.694198,-2.26503E-05,-0.550779095
-4.129253598,1.47885947,0.120688386,-0.078251536,0.264056549,4995.3931,-2.36872E-05,-0.569642905
-4.1821289,1.487603836,0.121968218,-0.010033577,0.320081187,4999.953296,-2.47245E-05,-0.588067236
-4.231392448,1.496564791,0.122039205,0.063897528,0.371385149,5004.36676,-2.57622E-05,-0.606037384
-4.277121605,1.505555778,0.120955056,0.137473394,0.418212475,5008.636856,-2.68001E-05,-0.623540158
-4.319362871,1.514583323,0.118743443,0.206049311,0.460770812,5012.76439,-2.78528E-05,-0.640563669
-4.358148512,1.522033356,0.117647993,0.265918934,0.499317712,5016.184184,-2.92263E-05,-0.657097146
-4.39342092,1.526308131,0.113286088,0.314557217,0.534360433,5019.544334,-3.07967E-05,-0.673130847
-4.425066295,1.531491536,0.108505467,0.350811794,0.565742618,5023.055146,-3.23676E-05,-0.688655893
-4.453009902,1.538740872,0.102719402,0.374376678,0.593428819,5026.528903,-3.39389E-05,-0.703664111
-4.477202382,1.54773392,0.095954892,0.385709178,0.617558124,5029.850205,-3.55108E-05,-0.718148026
-4.49762543,1.557850076,0.088541234,0.385849643,0.638445415,5032.943198,-3.70831E-05,-0.732100871
-4.514138636,1.568325249,0.080849591,0.37634977,0.656247555,5035.766886,-3.8656E-05,-0.745516572
-4.526699302,1.578611391,0.073129392,0.359312456,0.671178661,5038.315252,-4.02293E-05,-0.75838973
-4.535241158,1.588411559,0.065566063,0.336904025,0.683397517,5040.60051,-4.18031E-05,-0.770715643
-4.539696677,1.597576484,0.058273918,0.311240056,0.693013112,5042.64237,-4.33696E-05,-0.782490325
