Vehicle_States.lateral_vel_wrt_road,Vehicle_States.longitudinal_vel_wrt_road,Vehicle_States.roll_angle,Vehicle_States.yaw_angle,driving_machine_monitor.path_x,driving_machine_monitor.path_y,driving_machine_monitor.path_curvature,driving_machine_monitor.path_distance,driver_demands.steering,driver_demands.throttle,driver_demands.brake
-0.002916292,35.58593441,0.00011175,0.000421994,-27.65953485,-0.004433113,1.47205E-05,0.001528349,0.003820019,100,0
-0.0029326,35.60633111,0.000112268,0.00042886,-28.01531939,-0.004578751,1.46252E-05,0.001565065,0.003826429,100,0
-0.002948739,35.62672621,0.000112768,0.00043574,-28.37130792,-0.004726492,1.45299E-05,0.001601546,0.003831791,100,0
-0.0029647,35.64711968,0.00011325,0.000442633,-28.72750035,-0.004875998,1.44345E-05,0.001637441,0.003836061,100,0
-0.002980473,35.6675115,0.000113713,0.000449537,-29.08389661,-0.005027561,1.43391E-05,0.001673033,0.003839319,100,0
-0.002996047,35.68790163,0.000114159,0.00045645,-29.44049664,-0.005180952,1.42436E-05,0.001708081,0.003841441,100,0
-0.003011406,35.70829006,0.000114585,0.000463373,-29.79730036,-0.00533625,1.41477E-05,0.001742652,0.003842591,100,0
-0.003026536,35.72867673,0.000114993,0.000470302,-30.15430772,-0.005493487,1.40458E-05,0.00177677,0.003842567,100,0
-0.003041421,35.74906164,0.000115381,0.000477237,-30.51151866,-0.005652486,1.39382E-05,0.001810246,0.003841609,100,0
-0.003056045,35.76944475,0.000115749,0.000484176,-30.86893314,-0.005813528,1.38302E-05,0.001843353,0.003839464,100,0
-0.003070391,35.78982604,0.000116097,0.000491117,-31.22655111,-0.005976271,1.3722E-05,0.001875737,0.0038364,100,0
-0.003084442,35.81020546,0.000116425,0.000498058,-31.58437253,-0.006140992,1.36138E-05,0.001907668,0.003832178,100,0
-0.003098178,35.83058301,0.000116732,0.000504997,-31.94239736,-0.006307473,1.35056E-05,0.001938918,0.003827018,100,0
-0.003111577,35.85095866,0.000117017,0.000511934,-32.30062558,-0.006475793,1.33973E-05,0.001969558,0.003820757,100,0
-0.003124615,35.87133237,0.00011728,0.000518864,-32.65905717,-0.006645966,1.32889E-05,0.001999594,0.003813554,100,0
-0.003137266,35.89170415,0.00011752,0.000525788,-33.01769209,-0.006817847,1.31805E-05,0.002028872,0.003805317,100,0
-0.003149501,35.91207396,0.000117736,0.000532701,-33.37653033,-0.006991666,1.3072E-05,0.002057615,0.003796152,100,0
-0.00316129,35.93244179,0.000117928,0.000539603,-33.73557187,-0.007167113,1.29634E-05,0.002085506,0.003786023,100,0
-0.003172602,35.95280762,0.000118096,0.00054649,-34.09481671,-0.007344484,1.28548E-05,0.002112835,0.003774988,100,0
