Gyro.gyro_X,Gyro.gyro_Y,Vehicle_States.lateral_vel_wrt_road,Vehicle_States.longitudinal_vel_wrt_road,Vehicle_States.roll_angle,Vehicle_States.yaw_angle,Vehicle_States.side_slip,driving_machine_monitor.path_x,driving_machine_monitor.path_y,driving_machine_monitor.path_curvature,driving_machine_monitor.path_distance,driver_demands.steering,driver_demands.throttle
357.8696551,201.00023,1.04648E-05,10.00007266,-6.26754E-06,-3.45777E-06,1.04647E-06,-356.0585438,-201,0,-0.00021121,0.002033657,8.361742858
357.9696558,201.0002298,1.12165E-05,10.00007156,-6.24083E-06,-3.67616E-06,1.12164E-06,-356.1585446,-201,0,-0.000211358,0.00203661,8.361756904
358.0696565,201.0002295,1.19605E-05,10.00007047,-6.21445E-06,-3.8899E-06,1.19604E-06,-356.2585453,-201,0,-0.000211484,0.00203953,8.361770841
358.1696572,201.0002292,1.26967E-05,10.00006939,-6.18838E-06,-4.09904E-06,1.26966E-06,-356.358546,-201,0,-0.000211588,0.002042415,8.36178467
358.2696579,201.0002289,1.34252E-05,10.00006832,-6.16264E-06,-4.30362E-06,1.34251E-06,-356.4585467,-201,0,-0.00021167,0.002045265,8.36179839
358.3696586,201.0002286,1.41458E-05,10.00006727,-6.13721E-06,-4.50371E-06,1.41457E-06,-356.5585474,-201,0,-0.000211731,0.002048081,8.361812003
358.4696592,201.0002283,1.48587E-05,10.00006622,-6.11211E-06,-4.69934E-06,1.48586E-06,-356.658548,-201,0,-0.000211771,0.002050861,8.361825509
358.5696599,201.000228,1.55637E-05,10.00006519,-6.08731E-06,-4.89057E-06,1.55636E-06,-356.7585487,-201,0,-0.000211791,0.002053607,8.361838908
358.6696605,201.0002276,1.62609E-05,10.00006416,-6.06284E-06,-5.07746E-06,1.62608E-06,-356.8585494,-201,0,-0.000211791,0.002056319,8.361852202
358.7696612,201.0002273,1.69502E-05,10.00006315,-6.03868E-06,-5.26005E-06,1.69501E-06,-356.95855,-201,0,-0.000211771,0.002058995,8.36186539
358.8696618,201.0002269,1.76318E-05,10.00006215,-6.01483E-06,-5.43839E-06,1.76317E-06,-357.0585507,-201,0,-0.000211733,0.002061639,8.361878474
358.9696624,201.0002265,1.83055E-05,10.00006115,-5.9913E-06,-5.61253E-06,1.83053E-06,-357.1585513,-201,0,-0.000211676,0.002064246,8.361891454
359.069663,201.0002261,1.89713E-05,10.00006017,-5.96808E-06,-5.78254E-06,1.89712E-06,-357.2585519,-201,0,-0.000211601,0.002066821,8.36190433
359.1696636,201.0002257,1.96293E-05,10.0000592,-5.94517E-06,-5.94845E-06,1.96292E-06,-357.3585525,-201,0,-0.000211509,0.002069361,8.361917104
359.2696642,201.0002253,2.02795E-05,10.00005824,-5.92258E-06,-6.11031E-06,2.02794E-06,-357.4585531,-201,0,-0.000211399,0.002071867,8.361929776
359.3696648,201.0002249,2.09218E-05,10.00005729,-5.90028E-06,-6.26819E-06,2.09217E-06,-357.5585537,-201,0,-0.000211272,0.002074339,8.361942345
359.4696654,201.0002245,2.15564E-05,10.00005635,-5.8783E-06,-6.42212E-06,2.15562E-06,-357.6585543,-201,0,-0.000211129,0.002076777,8.361954814
359.5696659,201.000224,2.21831E-05,10.00005542,-5.85663E-06,-6.57216E-06,2.2183E-06,-357.7585548,-201,0,-0.00021097,0.002079182,8.361967183
359.6696665,201.0002236,2.2802E-05,10.00005449,-5.83526E-06,-6.71837E-06,2.28019E-06,-357.8585554,-201,0,-0.000210796,0.002081553,8.361979451
359.769667,201.0002231,2.34132E-05,10.00005358,-5.81419E-06,-6.86078E-06,2.34131E-06,-357.9585559,-201,0,-0.000210606,0.002083891,8.36199162
359.8696675,201.0002227,2.40166E-05,10.00005268,-5.79342E-06,-6.99945E-06,2.40165E-06,-358.0585565,-201,0,-0.000210402,0.002086196,8.362003691
359.9696681,201.0002222,2.46123E-05,10.00005179,-5.77296E-06,-7.13443E-06,2.46122E-06,-358.158557,-201,0,-0.000210182,0.002088466,8.362015663
360.0696686,201.0002217,2.52002E-05,10.00005091,-5.7528E-06,-7.26578E-06,2.52001E-06,-358.2585575,-201,0,-0.000209949,0.002090705,8.362027538
360.1696691,201.0002213,2.57805E-05,10.00005003,-5.73293E-06,-7.39353E-06,2.57803E-06,-358.358558,-201,0,-0.000209703,0.00209291,8.362039316
