Vehicle_States.lateral_acc_wrt_road,Vehicle_States.longitudinal_acc_wrt_road,Vehicle_States.pitch_angular_acc_wrt_road,Vehicle_States.roll_angular_acc_wrt_road,Vehicle_States.yaw_angular_acc_wrt_road,engine.engine_rpm,driving_machine_monitor.path_curvature,driving_machine_monitor.path_distance,driver_demands.throttle,driver_demands.brake
1.253492773,1.49762309,0.103822097,-0.115196209,-0.179155303,5109.962865,1.95509E-07,0.197620674,96.79495752,0
1.259678466,1.503943226,0.094649869,-0.122143858,-0.184658264,5112.486221,2.03914E-07,0.201429959,97.37727811,0
1.264166742,1.5099064,0.085260106,-0.126772282,-0.188937586,5114.831642,2.1232E-07,0.205085639,97.87662374,0
1.266941062,1.515372636,0.075724517,-0.129141435,-0.19202059,5117.019143,2.2073E-07,0.208586295,98.29568483,0
1.267992358,1.520346732,0.066143053,-0.129401786,-0.193929593,5119.068946,2.29475E-07,0.211930836,98.63854659,0
1.26732637,1.523065071,0.058711543,-0.127834694,-0.194703895,5120.470876,2.69118E-07,0.215118493,98.49594255,0
1.264939831,1.521769437,0.049337546,-0.124708935,-0.19446765,5121.890844,3.33583E-07,0.218148833,98.70880543,0
1.26084779,1.520858432,0.040717555,-0.120373807,-0.193180956,5123.555938,3.98067E-07,0.221021749,98.86688044,0
1.255089067,1.521487638,0.032225461,-0.115211584,-0.1908302,5125.295667,4.62571E-07,0.223737449,98.97876285,0
1.247801533,1.523063765,0.021742399,-0.116035035,-0.187511915,5127.019998,5.27093E-07,0.226296468,99.05923593,0
1.238831898,1.524745179,0.014562071,-0.10388266,-0.183130585,5128.695414,5.91635E-07,0.228699673,99.1241953,0
1.228469093,1.526162401,0.007005316,-0.097684752,-0.17794839,5130.327661,6.56196E-07,0.230948308,99.18702009,0
1.21673587,1.527339141,-0.000387327,-0.091935566,-0.171967736,5131.932701,7.20777E-07,0.233043829,99.2498814,0
1.203703788,1.528407558,-0.007228856,-0.085949747,-0.16525396,5133.521473,7.85377E-07,0.234988023,99.31262706,0
1.189449302,1.529451755,-0.013320497,-0.079852807,-0.157886997,5135.099783,8.48074E-07,0.236782965,99.37517281,0
1.174058697,1.527644912,-0.015249838,-0.073786494,-0.149961963,5135.825651,8.70831E-07,0.238430982,98.77297115,0
1.157592476,1.52018542,-0.01975459,-0.067762745,-0.141677555,5136.739396,8.7193E-07,0.239934623,98.84088886,0
1.140124095,1.514187472,-0.022794717,-0.06198509,-0.133005133,5138.180808,8.73029E-07,0.241296641,98.90751364,0
1.121736089,1.511696689,-0.025677341,-0.056625852,-0.12394618,5139.849958,8.74128E-07,0.242519968,98.9691112,0
1.10249767,1.511991912,-0.028705038,-0.05165113,-0.114572846,5141.568771,8.75228E-07,0.243607709,99.02862769,0
1.082494233,1.513728184,-0.031673927,-0.046983166,-0.104994458,5143.242506,8.76327E-07,0.244563134,99.08760775,0
1.061824976,1.515799931,-0.034268004,-0.042536133,-0.095320726,5144.842042,8.77428E-07,0.245389662,99.14684655,0
1.040590735,1.517605454,-0.036256391,-0.038253377,-0.085644727,5146.37962,8.78528E-07,0.246090826,99.20659281,0
1.018888117,1.518970913,-0.037560932,-0.034094757,-0.076039812,5147.882185,8.79629E-07,0.24667025,99.26675273,0
0.996808972,1.51996096,-0.038228764,-0.030016259,-0.066564144,5149.374319,8.91745E-07,0.247131616,99.32711537,0
0.974445767,1.518958533,-0.036299996,-0.025968634,-0.057269398,5150.351247,1.03039E-06,0.247478649,98.9775213,0
0.951874802,1.514377284,-0.036012515,-0.021849681,-0.048254332,5151.461312,1.20744E-06,0.24771512,99.04132908,0
0.929177438,1.510733149,-0.034942034,-0.01771718,-0.039515927,5152.913587,1.38454E-06,0.247844809,99.10434726,0
0.906440088,1.50932621,-0.033912409,-0.01358729,-0.031056803,5154.519272,1.5617E-06,0.247871469,99.16430565,0
